@relation modelo

@attribute computer numeric
@attribute programming numeric
@attribute page numeric
@attribute gmt numeric
@attribute project numeric
@attribute system numeric
@attribute information numeric
@attribute date numeric
@attribute server numeric
@attribute contenttype numeric
@attribute texthtml numeric
@attribute science numeric
@attribute home numeric
@attribute lastmodified numeric
@attribute contentlength numeric
@attribute nov numeric
@attribute university numeric
@attribute research numeric
@attribute language numeric
@attribute design numeric
@attribute department numeric
@attribute new numeric
@attribute parallel numeric
@attribute network numeric
@attribute software numeric
@attribute work numeric
@attribute course numeric
@attribute office numeric
@attribute email numeric
@attribute student numeric
@attribute engineering numeric
@attribute group numeric
@attribute distributed numeric
@attribute lab numeric
@attribute time numeric
@attribute algorithm numeric
@attribute web numeric
@attribute tue numeric
@attribute link numeric
@attribute interest numeric
@attribute publication numeric
@attribute development numeric
@attribute model numeric
@attribute application numeric
@attribute classs numeric
@attribute problem numeric
@attribute cs numeric
@attribute postscript numeric
@attribute c numeric
@attribute schedule numeric
@attribute graduate numeric
@attribute report numeric
@attribute technical numeric
@attribute college numeric
@attribute last numeric
@attribute welcome numeric
@attribute conference numeric
@attribute phd numeric
@attribute associate numeric
@attribute j numeric
@attribute thu numeric
@attribute fax numeric
@attribute data numeric
@attribute processing numeric
@attribute general numeric
@attribute mimeversion numeric
@attribute technology numeric
@attribute support numeric
@attribute currently numeric
@attribute phone numeric
@attribute cornell numeric
@attribute href numeric
@attribute src numeric
@attribute li numeric
@attribute endereco numeric

@attribute class {course, department, faculty, other, project, staff, student}

@data
0,1,0,2,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,16,1,0,1,course
1,1,2,2,0,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,6,8,1,course
2,0,5,2,0,6,9,2,1,1,1,1,3,1,1,0,0,1,1,4,0,0,0,0,0,2,8,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,1,course
0,0,2,2,0,0,0,1,1,1,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,course
0,0,2,2,6,3,3,1,1,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,4,0,0,2,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,course
0,0,2,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,course
12,26,5,2,0,0,0,1,1,1,1,5,1,1,1,0,5,0,3,0,1,0,0,0,0,8,13,2,2,5,0,3,0,3,2,1,3,0,0,1,0,1,1,1,3,5,5,0,2,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,19,1,0,1,course
4,9,3,2,0,0,0,1,1,1,1,2,1,1,1,0,1,0,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,9,1,8,1,course
1,0,0,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,1,course
8,16,1,2,0,2,0,3,3,1,1,4,1,1,1,0,0,0,6,0,1,0,0,0,0,6,16,1,1,4,0,0,0,3,5,1,8,0,0,0,0,0,2,0,2,15,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,course
1,0,1,2,2,1,3,1,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,course
0,0,2,2,0,0,0,1,1,1,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,course
1,0,1,2,0,0,0,2,1,1,1,1,0,1,1,0,1,0,3,0,0,0,0,0,0,0,2,3,1,3,0,1,0,2,2,0,2,0,1,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26,0,13,1,course
0,1,0,2,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,15,1,0,1,course
0,5,4,2,0,1,2,2,1,1,1,1,5,1,1,1,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5,0,1,course
0,0,0,2,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,course
0,4,3,2,24,22,4,2,1,1,1,0,0,1,1,0,0,6,0,2,0,5,0,0,5,6,9,4,2,3,0,0,0,0,3,0,0,0,0,0,0,7,0,1,3,1,1,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,1,1,0,0,0,2,0,0,9,36,1,course
0,13,0,2,1,1,4,1,1,1,1,1,0,1,1,0,0,0,10,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,1,course
0,0,1,2,2,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,2,2,1,course
0,0,1,2,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,2,1,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,17,1,course
0,0,0,2,0,8,0,1,1,1,1,0,1,1,1,0,0,0,3,1,0,0,10,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,1,course
1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,course
0,0,0,2,0,0,1,2,1,1,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,5,0,1,course
0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,1,1,course
1,1,2,2,3,0,0,1,1,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,14,1,course
0,0,3,2,0,0,2,1,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,16,1,course
5,15,3,2,1,2,0,4,6,1,1,3,2,1,1,0,1,0,2,0,4,0,0,0,0,0,5,7,6,0,0,0,0,1,0,0,3,0,0,1,0,1,0,4,23,1,2,1,10,1,0,0,0,0,3,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,99,1,163,1,course
2,0,0,2,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,4,0,1,course
0,2,1,2,1,1,2,1,1,1,1,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,12,1,course
0,0,0,2,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,8,1,course
1,1,2,2,3,0,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,29,29,0,1,course
0,0,0,2,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,course
0,0,0,2,2,1,3,1,1,1,1,1,3,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,5,0,1,course
1,0,0,2,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,course
0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,4,0,1,course
0,1,2,2,0,2,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,4,4,0,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,17,1,course
0,5,3,2,0,11,1,1,1,1,1,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,5,1,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,11,1,course
0,1,0,2,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,70,1,course
0,1,1,2,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,course
