@relation 'modelo-weka.filters.unsupervised.attribute.Remove-R2-3,5-8,10-11,19-20,22-26,31-37,39,41-44,46-55,57,60,63-65,67-68,71,74'

@attribute computer numeric
@attribute gmt numeric
@attribute server numeric
@attribute science numeric
@attribute home numeric
@attribute lastmodified numeric
@attribute contentlength numeric
@attribute nov numeric
@attribute university numeric
@attribute research numeric
@attribute department numeric
@attribute course numeric
@attribute office numeric
@attribute email numeric
@attribute student numeric
@attribute tue numeric
@attribute interest numeric
@attribute classs numeric
@attribute welcome numeric
@attribute phd numeric
@attribute associate numeric
@attribute thu numeric
@attribute fax numeric
@attribute mimeversion numeric
@attribute currently numeric
@attribute phone numeric
@attribute href numeric
@attribute src numeric
@attribute endereco numeric
@attribute class {course,department,faculty,other,project,staff,student}

@data
0,2,1,0,1,1,1,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,3,16,1,1,course
1,2,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,6,1,course
2,2,1,1,3,1,1,0,0,1,0,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,course
0,2,1,0,2,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,course
0,2,1,0,0,1,1,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,course
0,2,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,course
12,2,1,5,1,1,1,0,5,0,1,13,2,2,5,0,1,3,1,0,0,0,0,1,0,0,19,1,1,course
4,2,1,2,1,1,1,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,course
1,2,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,1,course
8,2,3,4,1,1,1,0,0,0,1,16,1,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,1,course
0,2,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,course
1,2,2,0,1,1,1,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,course
